Title,Studio,Content Rating,Year,Rating,Summary,Genres,Release Date,Writers,Duration,Directors,Roles
The Expendables 3,Davis-Films,PG-13,2014,6.1,"Barney, Christmas and the rest of the
team comes face-to-face with Conrad
Stonebanks, who years ago co-founded The
Expendables with Barney. Stonebanks
subsequently became a ruthless arms
trader and someone who Barney was forced
to kill… or so he thought. Stonebanks,
who eluded death once before, now is
making it his mission to end The
Expendables -- but Barney has other
plans. Barney decides that he has to
fight old blood with new blood, and
brings in a new era of Expendables team
members, recruiting individuals who are
younger, faster and more tech-savvy. The
latest mission becomes a clash of
classic old-school style versus high-
tech expertise in the Expendables’ most
personal battle yet.",Action - Adventure - Thriller,8/15/2014,"Sylvester Stallone - Creighton
Rothenberger - Katrin Benedikt",2:06:16,Patrick Hughes,"Sylvester Stallone - Jason Statham -
Harrison Ford"
Fantastic Beasts and Where to Find Them,Heyday films,PG-13,2016,7.1,"In 1926, Newt Scamander arrives at the
Magical Congress of the United States of
America with a magically expanded
briefcase, which houses a number of
dangerous creatures and their habitats.
When the creatures escape from the
briefcase, it sends the American
wizarding authorities after Newt, and
threatens to strain even further the
state of magical and non-magical
relations.",Fantasy,11/10/2016,Joanne K. Rowling,2:12:52,David Yates,"Eddie Redmayne - Colin Farrell -
Katherine Waterston"
The Fifth Element,Columbia Pictures,PG-13,1997,7.2,"In 2257, a taxi driver is
unintentionally given the task of saving
a young girl who is part of the key that
will ensure the survival of humanity.",Adventure - Fantasy - Action,5/9/1997,Robert Mark Kamen - Luc Besson,2:05:53,Luc Besson,Bruce Willis - Gary Oldman - Ian Holm
Finding Dory,Walt Disney Pictures,PG,2016,6.7,"Dory is reunited with her friends Nemo
and Marlin in the search for answers
about her past. What can she remember?
Who are her parents? And where did she
learn to speak Whale?",Adventure - Animation - Comedy,6/8/2016,Victoria Strouse - Andrew Stanton,1:37:03,Andrew Stanton - Angus MacLane,"Ellen DeGeneres - Albert Brooks - Hayden
Rolence"
Finding Nemo,Walt Disney Pictures,G,2003,7.5,"A tale which follows the comedic and
eventful journeys of two fish, the
fretful Marlin and his young son Nemo,
who are separated from each other in the
Great Barrier Reef when Nemo is
unexpectedly taken from his home and
thrust into a fish tank in a dentist's
office overlooking Sydney Harbor. Buoyed
by the companionship of a friendly but
forgetful fish named Dory, the overly
cautious Marlin embarks on a dangerous
trek and finds himself the unlikely hero
of an epic journey to rescue his son.",Animation - Family,5/30/2003,"Andrew Stanton - Bob Peterson - David
Reynolds",1:40:53,Andrew Stanton,"Albert Brooks - Ellen DeGeneres -
Alexander Gould"
Frankenweenie,Tim Burton Productions,PG,2012,6.5,"When a car hits young Victor's pet dog
Sparky, Victor decides to bring him back
to life the only way he knows how. But
when the bolt-necked ""monster"" wreaks
havoc and terror in the hearts of
Victor's neighbors, he has to convince
them that Sparky's still the good, loyal
friend he was.",Animation - Comedy - Family,9/20/2012,John August,1:26:56,Tim Burton,"Charlie Tahan - Catherine O'Hara -
Martin Short"
Frozen,Walt Disney Pictures,PG,2013,7.4,"Young princess Anna of Arendelle dreams
about finding true love at her sister
Elsa’s coronation. Fate takes her on a
dangerous journey in an attempt to end
the eternal winter that has fallen over
the kingdom. She's accompanied by ice
delivery man Kristoff, his reindeer
Sven, and snowman Olaf. On an adventure
where she will find out what friendship,
courage, family, and true love really
means.",Animation - Adventure - Family,11/19/2013,Hans Christian Andersen - Jennifer Lee,1:42:13,Chris Buck - Jennifer Lee,"Kristen Bell - Idina Menzel - Jonathan
Groff"
Frozen Fever,Walt Disney Pictures,G,2015,7,"On Anna's birthday, Elsa and Kristoff
are determined to give her the best
celebration ever, but Elsa's icy powers
may put more than just the party at
risk.",Adventure - Animation - Family,3/13/2015,N/A,0:07:57,Chris Buck - Jennifer Lee,"Kristen Bell - Idina Menzel - Jonathan
Groff"
Fury,Columbia Pictures,R,2014,7.4,"Last months of World War II in April
1945. As the Allies make their final
push in the European Theater, a battle-
hardened U.S. Army sergeant in the 2nd
Armored Division named Wardaddy commands
a Sherman tank called ""Fury"" and its
five-man crew on a deadly mission behind
enemy lines. Outnumbered and outgunned,
Wardaddy and his men face overwhelming
odds in their heroic attempts to strike
at the heart of Nazi Germany.",War - Drama - Action,10/15/2014,David Ayer,2:14:38,David Ayer,Brad Pitt - Shia LaBeouf - Logan Lerman
Get Hard,Gary Sanchez Productions,R,2015,5.9,"When obscenely rich hedge-fund manager
James is convicted of fraud and
sentenced to a stretch in San Quentin,
the judge gives him one month to get his
affairs in order. Knowing that he won't
survive more than a few minutes in
prison on his own, James desperately
turns to Darnell-- a black businessman
who's never even had a parking ticket --
for help. As Darnell puts James through
the wringer, both learn that they were
wrong about many things, including each
other.",Comedy,3/27/2015,Jay Martel - Ian Roberts - Etan Cohen,1:46:43,Etan Cohen,Will Ferrell - Kevin Hart - Alison Brie
Get Out,Blumhouse Productions,R,2017,7.1,"A young black man visits his white
girlfriend's cursed family estate. He
finds out that many of its residents,
who are black, have gone missing in the
past.",Mystery - Thriller - Horror,1/23/2017,Jordan Peele,1:44:05,Jordan Peele,"Daniel Kaluuya - Allison Williams -
Bradley Whitford"
Ghost in the Shell,Paramount Pictures,PG-13,2017,5.8,"In the near future, Major is the first
of her kind: a human saved from a
terrible crash, who is cyber-enhanced to
be a perfect soldier devoted to stopping
the world's most dangerous criminals.",Action - Crime - Drama,3/31/2017,"William Wheeler - Jamie Moss - Ehren
Kruger",1:47:12,Rupert Sanders,"Scarlett Johansson - Pilou Asbæk -
Takeshi Kitano"
The Gift,Blumhouse Productions,R,2015,6.6,"A husband and wife try to reinvigorate
their relationship but their lives are
threatened by a ""friend"" from the
husband's past who holds a horrifying
secret about him, sending their world
into a tailspin.",Thriller - Mystery,7/30/2015,Joel Edgerton,1:48:11,Joel Edgerton,"Jason Bateman - Rebecca Hall - Joel
Edgerton"
Gnomeo & Juliet,Starz Animation,G,2011,5.7,"A version of Shakespeare's play, set in
the world of warring indoor and outdoor
gnomes. Garden gnomes Gnomeo and Juliet
have as many obstacles to overcome as
their quasi namesakes when they are
caught up in a feud between neighbors.
But with plastic pink flamingos and
lawnmower races in the mix, can this
young couple find lasting happiness?",Animation - Family,2/11/2011,"Andy Riley - William Shakespeare - John
R. Smith",1:23:51,Kelly Asbury,"James McAvoy - Michael Caine - Maggie
Smith"
Godzilla,Toho Company,PG-13,2014,6.1,"Fifteen years after an 'incident' at a
Japanese nuclear power plant, physicist
Joe Brody joins forces with his soldier
son Ford to discover for themselves what
really happened.  What they uncover is
prelude to global-threatening
devastation.  An epic rebirth to Toho's
iconic Godzilla, this spectacular
adventure pits the world's most famous
monster against malevolent creatures
who, bolstered by humanity's scientific
arrogance, threaten our very existence.",Action - Science Fiction - Thriller,5/16/2014,Max Borenstein,2:03:07,Gareth Edwards,"Aaron Taylor-Johnson - Ken Watanabe -
Elizabeth Olsen"
The Good Dinosaur,Walt Disney Pictures,PG,2015,6.6,"An epic journey into the world of
dinosaurs where an Apatosaurus named
Arlo makes an unlikely human friend.",Adventure - Animation - Family,11/25/2015,Meg LeFauve,1:33:38,Peter Sohn,"Raymond Ochoa - Jack Bright - Jeffrey
Wright"
The Great Wall,Universal Pictures,PG-13,2017,5.9,"European mercenaries searching for black
powder become embroiled in the defense
of the Great Wall of China against a
horde of monstrous creatures.",Action - Adventure - Fantasy,2/17/2017,Tony Gilroy - Doug Miro - Carlo Bernard,1:43:03,Zhang Yimou,Matt Damon - Jing Tian - Willem Dafoe
Grimsby,Columbia Pictures,R,2016,5.7,"Wrongfully accused and on the run, a top
MI6 assassin joins forces with his long-
lost, football hooligan brother to save
the world from a sinister plot.",Action - Comedy,3/11/2016,"Sacha Baron Cohen - Phil Johnston -
Peter Baynham",1:23:12,Louis Leterrier,"Sacha Baron Cohen - Mark Strong - Isla
Fisher"
Guardians of the Galaxy,Marvel Studios,PG-13,2014,7.9,"Light years from Earth, 26 years after
being abducted, Peter Quill finds
himself the prime target of a manhunt
after discovering an orb wanted by Ronan
the Accuser.",Action - Science Fiction - Adventure,8/1/2014,Nicole Perlman - James Gunn,2:00:51,James Gunn,"Chris Pratt - Zoe Saldana - Dave
Bautista"
Hacksaw Ridge,Icon Productions,R,2016,7.6,"WWII American Army Medic Desmond T.
Doss, who served during the Battle of
Okinawa, refuses to kill people and
becomes the first Conscientious Objector
in American history to win the
Congressional Medal of Honor.",Drama - History - War,11/4/2016,Robert Schenkkan - Andrew Knight,2:19:19,Mel Gibson,"Andrew Garfield - Sam Worthington -
Vince Vaughn"
